CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,CA-503,Asian or Asian American,Alone,125
2017,CA-503,Asian or Asian American,In_Combination,109
2017,CA-503,"Black, African American or African",Alone,4711
2017,CA-503,"Black, African American or African",In_Combination,909
2017,CA-503,Hispanic/Latina/e/o,Alone,50
2017,CA-503,Hispanic/Latina/e/o,In_Combination,1879
2017,CA-503,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Native Hawaiian or Pacific Islander,In_Combination,134
2017,CA-503,White,Alone,3352
2017,CA-503,White,In_Combination,1974
2017,CA-504,"American Indian, Alaska Native, or Indigenous",Alone,62
2017,CA-504,"American Indian, Alaska Native, or Indigenous",In_Combination,438
2017,CA-504,Asian or Asian American,Alone,25
2017,CA-504,Asian or Asian American,In_Combination,33
2017,CA-504,"Black, African American or African",Alone,188
2017,CA-504,"Black, African American or African",In_Combination,95
2017,CA-504,Hispanic/Latina/e/o,Alone,41
2017,CA-504,Hispanic/Latina/e/o,In_Combination,758
2017,CA-504,Native Hawaiian or Pacific Islander,Alone,26
2017,CA-504,Native Hawaiian or Pacific Islander,In_Combination,46
2017,CA-504,White,Alone,1601
2017,CA-504,White,In_Combination,635
2017,CA-505,"American Indian, Alaska Native, or Indigenous",Alone,47
2017,CA-505,"American Indian, Alaska Native, or Indigenous",In_Combination,446
2017,CA-505,Asian or Asian American,Alone,64
2017,CA-505,Asian or Asian American,In_Combination,49
2017,CA-505,"Black, African American or African",Alone,1774
2017,CA-505,"Black, African American or African",In_Combination,215
2017,CA-505,Hispanic/Latina/e/o,Alone,21
2017,CA-505,Hispanic/Latina/e/o,In_Combination,857
2017,CA-505,Native Hawaiian or Pacific Islander,Alone,90
2017,CA-505,Native Hawaiian or Pacific Islander,In_Combination,77
2017,CA-505,White,Alone,1627
2017,CA-505,White,In_Combination,566
2017,CA-506,"American Indian, Alaska Native, or Indigenous",Alone,15
2017,CA-506,"American Indian, Alaska Native, or Indigenous",In_Combination,99
2017,CA-506,Asian or Asian American,Alone,33
2017,CA-506,Asian or Asian American,In_Combination,45
2017,CA-506,"Black, African American or African",Alone,203
2017,CA-506,"Black, African American or African",In_Combination,92
2017,CA-506,Hispanic/Latina/e/o,Alone,28
2017,CA-506,Hispanic/Latina/e/o,In_Combination,1339
2017,CA-506,Native Hawaiian or Pacific Islander,Alone,28
2017,CA-506,Native Hawaiian or Pacific Islander,In_Combination,29
2017,CA-506,White,Alone,561
2017,CA-506,White,In_Combination,1300
2017,CA-507,"American Indian, Alaska Native, or Indigenous",Alone,23
2017,CA-507,"American Indian, Alaska Native, or Indigenous",In_Combination,35
2017,CA-507,Asian or Asian American,Alone,32
2017,CA-507,Asian or Asian American,In_Combination,*
2017,CA-507,"Black, African American or African",Alone,318
2017,CA-507,"Black, African American or African",In_Combination,55
2017,CA-507,Hispanic/Latina/e/o,Alone,46
2017,CA-507,Hispanic/Latina/e/o,In_Combination,298
2017,CA-507,Native Hawaiian or Pacific Islander,Alone,13
2017,CA-507,Native Hawaiian or Pacific Islander,In_Combination,14
2017,CA-507,White,Alone,798
2017,CA-507,White,In_Combination,304
2017,CA-508,"American Indian, Alaska Native, or Indigenous",Alone,34
2017,CA-508,"American Indian, Alaska Native, or Indigenous",In_Combination,224
2017,CA-508,Asian or Asian American,Alone,14
2017,CA-508,Asian or Asian American,In_Combination,19
2017,CA-508,"Black, African American or African",Alone,90
2017,CA-508,"Black, African American or African",In_Combination,45
2017,CA-508,Hispanic/Latina/e/o,Alone,46
2017,CA-508,Hispanic/Latina/e/o,In_Combination,615
2017,CA-508,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-508,Native Hawaiian or Pacific Islander,In_Combination,21
2017,CA-508,White,Alone,925
2017,CA-508,White,In_Combination,486
2017,CA-509,"American Indian, Alaska Native, or Indigenous",Alone,50
2017,CA-509,"American Indian, Alaska Native, or Indigenous",In_Combination,56
2017,CA-509,Asian or Asian American,Alone,*
2017,CA-509,Asian or Asian American,In_Combination,*
2017,CA-509,"Black, African American or African",Alone,38
2017,CA-509,"Black, African American or African",In_Combination,11
2017,CA-509,Hispanic/Latina/e/o,Alone,*
2017,CA-509,Hispanic/Latina/e/o,In_Combination,85
2017,CA-509,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-509,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-509,White,Alone,564
2017,CA-509,White,In_Combination,94
2017,CA-510,"American Indian, Alaska Native, or Indigenous",Alone,63
2017,CA-510,"American Indian, Alaska Native, or Indigenous",In_Combination,288
2017,CA-510,Asian or Asian American,Alone,70
2017,CA-510,Asian or Asian American,In_Combination,66
2017,CA-510,"Black, African American or African",Alone,647
2017,CA-510,"Black, African American or African",In_Combination,362
2017,CA-510,Hispanic/Latina/e/o,Alone,154
2017,CA-510,Hispanic/Latina/e/o,In_Combination,2640
2017,CA-510,Native Hawaiian or Pacific Islander,Alone,65
2017,CA-510,Native Hawaiian or Pacific Islander,In_Combination,89
2017,CA-510,White,Alone,2241
2017,CA-510,White,In_Combination,2604
2017,CA-511,"American Indian, Alaska Native, or Indigenous",Alone,56
2017,CA-511,"American Indian, Alaska Native, or Indigenous",In_Combination,203
2017,CA-511,Asian or Asian American,Alone,157
2017,CA-511,Asian or Asian American,In_Combination,101
2017,CA-511,"Black, African American or African",Alone,2569
2017,CA-511,"Black, African American or African",In_Combination,422
2017,CA-511,Hispanic/Latina/e/o,Alone,282
2017,CA-511,Hispanic/Latina/e/o,In_Combination,2205
2017,CA-511,Native Hawaiian or Pacific Islander,Alone,71
2017,CA-511,Native Hawaiian or Pacific Islander,In_Combination,61
2017,CA-511,White,Alone,1915
2017,CA-511,White,In_Combination,2211
2017,CA-512,"American Indian, Alaska Native, or Indigenous",Alone,30
2017,CA-512,"American Indian, Alaska Native, or Indigenous",In_Combination,287
2017,CA-512,Asian or Asian American,Alone,203
2017,CA-512,Asian or Asian American,In_Combination,49
2017,CA-512,"Black, African American or African",Alone,677
2017,CA-512,"Black, African American or African",In_Combination,118
2017,CA-512,Hispanic/Latina/e/o,Alone,64
2017,CA-512,Hispanic/Latina/e/o,In_Combination,1379
2017,CA-512,Native Hawaiian or Pacific Islander,Alone,342
2017,CA-512,Native Hawaiian or Pacific Islander,In_Combination,41
2017,CA-512,White,Alone,1003
2017,CA-512,White,In_Combination,1155
2017,CA-513,"American Indian, Alaska Native, or Indigenous",Alone,45
2017,CA-513,"American Indian, Alaska Native, or Indigenous",In_Combination,100
2017,CA-513,Asian or Asian American,Alone,15
2017,CA-513,Asian or Asian American,In_Combination,15
2017,CA-513,"Black, African American or African",Alone,338
2017,CA-513,"Black, African American or African",In_Combination,88
2017,CA-513,Hispanic/Latina/e/o,Alone,131
2017,CA-513,Hispanic/Latina/e/o,In_Combination,1302
2017,CA-513,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-513,Native Hawaiian or Pacific Islander,In_Combination,17
2017,CA-513,White,Alone,1033
2017,CA-513,White,In_Combination,1253
2017,CA-514,"American Indian, Alaska Native, or Indigenous",Alone,51
2017,CA-514,"American Indian, Alaska Native, or Indigenous",In_Combination,81
2017,CA-514,Asian or Asian American,Alone,29
2017,CA-514,Asian or Asian American,In_Combination,*
2017,CA-514,"Black, African American or African",Alone,561
2017,CA-514,"Black, African American or African",In_Combination,81
2017,CA-514,Hispanic/Latina/e/o,Alone,51
2017,CA-514,Hispanic/Latina/e/o,In_Combination,1107
2017,CA-514,Native Hawaiian or Pacific Islander,Alone,12
2017,CA-514,Native Hawaiian or Pacific Islander,In_Combination,16
2017,CA-514,White,Alone,698
2017,CA-514,White,In_Combination,1056
2017,CA-515,"American Indian, Alaska Native, or Indigenous",Alone,20
2017,CA-515,"American Indian, Alaska Native, or Indigenous",In_Combination,120
2017,CA-515,Asian or Asian American,Alone,*
2017,CA-515,Asian or Asian American,In_Combination,17
2017,CA-515,"Black, African American or African",Alone,87
2017,CA-515,"Black, African American or African",In_Combination,64
2017,CA-515,Hispanic/Latina/e/o,Alone,13
2017,CA-515,Hispanic/Latina/e/o,In_Combination,202
2017,CA-515,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-515,Native Hawaiian or Pacific Islander,In_Combination,24
2017,CA-515,White,Alone,869
2017,CA-515,White,In_Combination,239
2017,CA-516,"American Indian, Alaska Native, or Indigenous",Alone,13
2017,CA-516,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-516,Asian or Asian American,Alone,*
2017,CA-516,Asian or Asian American,In_Combination,*
2017,CA-516,"Black, African American or African",Alone,*
2017,CA-516,"Black, African American or African",In_Combination,14
2017,CA-516,Hispanic/Latina/e/o,Alone,*
2017,CA-516,Hispanic/Latina/e/o,In_Combination,22
2017,CA-516,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-516,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-516,White,Alone,151
2017,CA-516,White,In_Combination,42
2017,CA-517,"American Indian, Alaska Native, or Indigenous",Alone,19
2017,CA-517,"American Indian, Alaska Native, or Indigenous",In_Combination,108
2017,CA-517,Asian or Asian American,Alone,*
2017,CA-517,Asian or Asian American,In_Combination,*
2017,CA-517,"Black, African American or African",Alone,52
2017,CA-517,"Black, African American or African",In_Combination,14
2017,CA-517,Hispanic/Latina/e/o,Alone,*
2017,CA-517,Hispanic/Latina/e/o,In_Combination,304
2017,CA-517,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-517,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-517,White,Alone,525
2017,CA-517,White,In_Combination,210
2017,CA-518,"American Indian, Alaska Native, or Indigenous",Alone,14
2017,CA-518,"American Indian, Alaska Native, or Indigenous",In_Combination,65
2017,CA-518,Asian or Asian American,Alone,17
2017,CA-518,Asian or Asian American,In_Combination,26
2017,CA-518,"Black, African American or African",Alone,389
2017,CA-518,"Black, African American or African",In_Combination,58
2017,CA-518,Hispanic/Latina/e/o,Alone,11
2017,CA-518,Hispanic/Latina/e/o,In_Combination,147
2017,CA-518,Native Hawaiian or Pacific Islander,Alone,19
2017,CA-518,Native Hawaiian or Pacific Islander,In_Combination,24
2017,CA-518,White,Alone,306
2017,CA-518,White,In_Combination,172
2017,CA-519,"American Indian, Alaska Native, or Indigenous",Alone,42
2017,CA-519,"American Indian, Alaska Native, or Indigenous",In_Combination,78
2017,CA-519,Asian or Asian American,Alone,*
2017,CA-519,Asian or Asian American,In_Combination,*
2017,CA-519,"Black, African American or African",Alone,70
2017,CA-519,"Black, African American or African",In_Combination,47
2017,CA-519,Hispanic/Latina/e/o,Alone,*
2017,CA-519,Hispanic/Latina/e/o,In_Combination,159
2017,CA-519,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-519,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-519,White,Alone,967
2017,CA-519,White,In_Combination,227
2017,CA-520,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-520,"American Indian, Alaska Native, or Indigenous",In_Combination,17
2017,CA-520,Asian or Asian American,Alone,*
2017,CA-520,Asian or Asian American,In_Combination,*
2017,CA-520,"Black, African American or African",Alone,118
2017,CA-520,"Black, African American or African",In_Combination,14
2017,CA-520,Hispanic/Latina/e/o,Alone,23
2017,CA-520,Hispanic/Latina/e/o,In_Combination,161
2017,CA-520,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-520,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-520,White,Alone,264
2017,CA-520,White,In_Combination,160
2017,CA-521,"American Indian, Alaska Native, or Indigenous",Alone,12
2017,CA-521,"American Indian, Alaska Native, or Indigenous",In_Combination,31
2017,CA-521,Asian or Asian American,Alone,*
2017,CA-521,Asian or Asian American,In_Combination,*
2017,CA-521,"Black, African American or African",Alone,115
2017,CA-521,"Black, African American or African",In_Combination,22
2017,CA-521,Hispanic/Latina/e/o,Alone,*
2017,CA-521,Hispanic/Latina/e/o,In_Combination,137
2017,CA-521,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-521,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-521,White,Alone,229
2017,CA-521,White,In_Combination,121
2017,CA-522,"American Indian, Alaska Native, or Indigenous",Alone,59
2017,CA-522,"American Indian, Alaska Native, or Indigenous",In_Combination,126
2017,CA-522,Asian or Asian American,Alone,*
2017,CA-522,Asian or Asian American,In_Combination,*
2017,CA-522,"Black, African American or African",Alone,40
2017,CA-522,"Black, African American or African",In_Combination,20
2017,CA-522,Hispanic/Latina/e/o,Alone,*
2017,CA-522,Hispanic/Latina/e/o,In_Combination,126
2017,CA-522,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-522,Native Hawaiian or Pacific Islander,In_Combination,13
2017,CA-522,White,Alone,635
2017,CA-522,White,In_Combination,191
2017,CA-523,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-523,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-523,"Black, African American or African",Alone,*
2017,CA-523,"Black, African American or African",In_Combination,*
2017,CA-523,Hispanic/Latina/e/o,Alone,14
2017,CA-523,Hispanic/Latina/e/o,In_Combination,75
2017,CA-523,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-523,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-523,White,Alone,80
2017,CA-523,White,In_Combination,70
2017,CA-524,Hispanic/Latina/e/o,Alone,*
2017,CA-524,Hispanic/Latina/e/o,In_Combination,*
2017,CA-524,White,Alone,*
2017,CA-524,White,In_Combination,*
2017,CA-525,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-525,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-525,Asian or Asian American,Alone,*
2017,CA-525,Asian or Asian American,In_Combination,*
2017,CA-525,"Black, African American or African",Alone,*
2017,CA-525,"Black, African American or African",In_Combination,*
2017,CA-525,Hispanic/Latina/e/o,Alone,*
2017,CA-525,Hispanic/Latina/e/o,In_Combination,40
2017,CA-525,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-525,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-525,White,Alone,233
2017,CA-525,White,In_Combination,36
2017,CA-526,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-526,"American Indian, Alaska Native, or Indigenous",In_Combination,31
2017,CA-526,Asian or Asian American,Alone,*
2017,CA-526,Asian or Asian American,In_Combination,*
2017,CA-526,"Black, African American or African",Alone,11
2017,CA-526,"Black, African American or African",In_Combination,*
2017,CA-526,Hispanic/Latina/e/o,Alone,*
2017,CA-526,Hispanic/Latina/e/o,In_Combination,79
2017,CA-526,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-526,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-526,White,Alone,390
2017,CA-526,White,In_Combination,104
2017,CA-527,"American Indian, Alaska Native, or Indigenous",Alone,19
2017,CA-527,"American Indian, Alaska Native, or Indigenous",In_Combination,21
2017,CA-527,Asian or Asian American,Alone,*
2017,CA-527,Asian or Asian American,In_Combination,*
2017,CA-527,"Black, African American or African",Alone,*
2017,CA-527,"Black, African American or African",In_Combination,*
2017,CA-527,Hispanic/Latina/e/o,Alone,*
2017,CA-527,Hispanic/Latina/e/o,In_Combination,42
2017,CA-527,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-527,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-527,White,Alone,294
2017,CA-527,White,In_Combination,59
2017,CA-529,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-529,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-529,Asian or Asian American,Alone,*
2017,CA-529,Asian or Asian American,In_Combination,*
2017,CA-529,"Black, African American or African",Alone,*
2017,CA-529,"Black, African American or African",In_Combination,*
2017,CA-529,Hispanic/Latina/e/o,Alone,*
2017,CA-529,Hispanic/Latina/e/o,In_Combination,13
2017,CA-529,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-529,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-529,White,Alone,24
2017,CA-529,White,In_Combination,12
2017,CA-530,"American Indian, Alaska Native, or Indigenous",Alone,29
2017,CA-530,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-530,Asian or Asian American,Alone,*
2017,CA-530,Asian or Asian American,In_Combination,*
2017,CA-530,"Black, African American or African",Alone,*
2017,CA-530,"Black, African American or African",In_Combination,*
2017,CA-530,Hispanic/Latina/e/o,Alone,*
2017,CA-530,Hispanic/Latina/e/o,In_Combination,45
2017,CA-530,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-530,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-530,White,Alone,98
2017,CA-530,White,In_Combination,45
2017,CA-531,"American Indian, Alaska Native, or Indigenous",Alone,13
2017,CA-531,"American Indian, Alaska Native, or Indigenous",In_Combination,20
2017,CA-531,Asian or Asian American,Alone,*
2017,CA-531,Asian or Asian American,In_Combination,*
2017,CA-531,"Black, African American or African",Alone,*
2017,CA-531,"Black, African American or African",In_Combination,*
2017,CA-531,Hispanic/Latina/e/o,Alone,*
2017,CA-531,Hispanic/Latina/e/o,In_Combination,32
2017,CA-531,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-531,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-531,White,Alone,378
2017,CA-531,White,In_Combination,57
2017,CA-600,"American Indian, Alaska Native, or Indigenous",Alone,346
2017,CA-600,"American Indian, Alaska Native, or Indigenous",In_Combination,958
2017,CA-600,Asian or Asian American,Alone,582
2017,CA-600,Asian or Asian American,In_Combination,260
2017,CA-600,"Black, African American or African",Alone,23024
2017,CA-600,"Black, African American or African",In_Combination,1806
2017,CA-600,Hispanic/Latina/e/o,Alone,1998
2017,CA-600,Hispanic/Latina/e/o,In_Combination,15774
2017,CA-600,Native Hawaiian or Pacific Islander,Alone,277
2017,CA-600,Native Hawaiian or Pacific Islander,In_Combination,367
2017,CA-600,White,Alone,9338
2017,CA-600,White,In_Combination,15033
2017,CA-601,"American Indian, Alaska Native, or Indigenous",Alone,99
2017,CA-601,"American Indian, Alaska Native, or Indigenous",In_Combination,359
2017,CA-601,Asian or Asian American,Alone,167
2017,CA-601,Asian or Asian American,In_Combination,144
2017,CA-601,"Black, African American or African",Alone,3146
2017,CA-601,"Black, African American or African",In_Combination,624
2017,CA-601,Hispanic/Latina/e/o,Alone,82
2017,CA-601,Hispanic/Latina/e/o,In_Combination,3228
2017,CA-601,Native Hawaiian or Pacific Islander,Alone,126
2017,CA-601,Native Hawaiian or Pacific Islander,In_Combination,181
2017,CA-601,White,Alone,4034
2017,CA-601,White,In_Combination,3209
2017,CA-602,"American Indian, Alaska Native, or Indigenous",Alone,83
2017,CA-602,"American Indian, Alaska Native, or Indigenous",In_Combination,627
2017,CA-602,Asian or Asian American,Alone,248
2017,CA-602,Asian or Asian American,In_Combination,129
2017,CA-602,"Black, African American or African",Alone,1232
2017,CA-602,"Black, African American or African",In_Combination,382
2017,CA-602,Hispanic/Latina/e/o,Alone,159
2017,CA-602,Hispanic/Latina/e/o,In_Combination,3893
2017,CA-602,Native Hawaiian or Pacific Islander,Alone,110
2017,CA-602,Native Hawaiian or Pacific Islander,In_Combination,108
2017,CA-602,White,Alone,4044
2017,CA-602,White,In_Combination,3484
2017,CA-603,"American Indian, Alaska Native, or Indigenous",Alone,38
2017,CA-603,"American Indian, Alaska Native, or Indigenous",In_Combination,109
2017,CA-603,Asian or Asian American,Alone,20
2017,CA-603,Asian or Asian American,In_Combination,21
2017,CA-603,"Black, African American or African",Alone,214
2017,CA-603,"Black, African American or African",In_Combination,58
2017,CA-603,Hispanic/Latina/e/o,Alone,65
2017,CA-603,Hispanic/Latina/e/o,In_Combination,1060
2017,CA-603,Native Hawaiian or Pacific Islander,Alone,15
2017,CA-603,Native Hawaiian or Pacific Islander,In_Combination,23
2017,CA-603,White,Alone,1121
2017,CA-603,White,In_Combination,1064
2017,CA-604,"American Indian, Alaska Native, or Indigenous",Alone,25
2017,CA-604,"American Indian, Alaska Native, or Indigenous",In_Combination,89
2017,CA-604,Asian or Asian American,Alone,*
2017,CA-604,Asian or Asian American,In_Combination,*
2017,CA-604,"Black, African American or African",Alone,652
2017,CA-604,"Black, African American or African",In_Combination,64
2017,CA-604,Hispanic/Latina/e/o,Alone,14
2017,CA-604,Hispanic/Latina/e/o,In_Combination,1063
2017,CA-604,Native Hawaiian or Pacific Islander,Alone,25
2017,CA-604,Native Hawaiian or Pacific Islander,In_Combination,11
2017,CA-604,White,Alone,1149
2017,CA-604,White,In_Combination,1062
2017,CA-606,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-606,"American Indian, Alaska Native, or Indigenous",In_Combination,41
2017,CA-606,Asian or Asian American,Alone,34
2017,CA-606,Asian or Asian American,In_Combination,26
2017,CA-606,"Black, African American or African",Alone,1188
2017,CA-606,"Black, African American or African",In_Combination,137
2017,CA-606,Hispanic/Latina/e/o,Alone,30
2017,CA-606,Hispanic/Latina/e/o,In_Combination,614
2017,CA-606,Native Hawaiian or Pacific Islander,Alone,31
2017,CA-606,Native Hawaiian or Pacific Islander,In_Combination,22
2017,CA-606,White,Alone,634
2017,CA-606,White,In_Combination,603
2017,CA-607,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-607,"American Indian, Alaska Native, or Indigenous",In_Combination,23
2017,CA-607,Asian or Asian American,Alone,24
2017,CA-607,Asian or Asian American,In_Combination,*
2017,CA-607,"Black, African American or African",Alone,441
2017,CA-607,"Black, African American or African",In_Combination,51
2017,CA-607,Hispanic/Latina/e/o,Alone,28
2017,CA-607,Hispanic/Latina/e/o,In_Combination,405
2017,CA-607,Native Hawaiian or Pacific Islander,Alone,19
2017,CA-607,Native Hawaiian or Pacific Islander,In_Combination,14
2017,CA-607,White,Alone,275
2017,CA-607,White,In_Combination,373
2017,CA-608,"American Indian, Alaska Native, or Indigenous",Alone,65
2017,CA-608,"American Indian, Alaska Native, or Indigenous",In_Combination,158
2017,CA-608,Asian or Asian American,Alone,62
2017,CA-608,Asian or Asian American,In_Combination,28
2017,CA-608,"Black, African American or African",Alone,1439
2017,CA-608,"Black, African American or African",In_Combination,207
2017,CA-608,Hispanic/Latina/e/o,Alone,75
2017,CA-608,Hispanic/Latina/e/o,In_Combination,2346
2017,CA-608,Native Hawaiian or Pacific Islander,Alone,64
2017,CA-608,Native Hawaiian or Pacific Islander,In_Combination,48
2017,CA-608,White,Alone,2340
2017,CA-608,White,In_Combination,2266
2017,CA-609,"American Indian, Alaska Native, or Indigenous",Alone,69
2017,CA-609,"American Indian, Alaska Native, or Indigenous",In_Combination,155
2017,CA-609,Asian or Asian American,Alone,40
2017,CA-609,Asian or Asian American,In_Combination,33
2017,CA-609,"Black, African American or African",Alone,3522
2017,CA-609,"Black, African American or African",In_Combination,416
2017,CA-609,Hispanic/Latina/e/o,Alone,50
2017,CA-609,Hispanic/Latina/e/o,In_Combination,2632
2017,CA-609,Native Hawaiian or Pacific Islander,Alone,40
2017,CA-609,Native Hawaiian or Pacific Islander,In_Combination,56
2017,CA-609,White,Alone,1703
2017,CA-609,White,In_Combination,2449
2017,CA-611,"American Indian, Alaska Native, or Indigenous",Alone,21
2017,CA-611,"American Indian, Alaska Native, or Indigenous",In_Combination,49
2017,CA-611,Asian or Asian American,Alone,18
2017,CA-611,Asian or Asian American,In_Combination,18
2017,CA-611,"Black, African American or African",Alone,133
2017,CA-611,"Black, African American or African",In_Combination,72
2017,CA-611,Hispanic/Latina/e/o,Alone,40
2017,CA-611,Hispanic/Latina/e/o,In_Combination,1093
2017,CA-611,Native Hawaiian or Pacific Islander,Alone,15
2017,CA-611,Native Hawaiian or Pacific Islander,In_Combination,24
2017,CA-611,White,Alone,747
2017,CA-611,White,In_Combination,1108
2017,CA-612,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-612,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-612,Asian or Asian American,Alone,13
2017,CA-612,Asian or Asian American,In_Combination,*
2017,CA-612,"Black, African American or African",Alone,91
2017,CA-612,"Black, African American or African",In_Combination,20
2017,CA-612,Hispanic/Latina/e/o,Alone,*
2017,CA-612,Hispanic/Latina/e/o,In_Combination,184
2017,CA-612,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-612,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-612,White,Alone,105
2017,CA-612,White,In_Combination,176
2017,CA-613,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-613,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-613,Asian or Asian American,Alone,*
2017,CA-613,Asian or Asian American,In_Combination,*
2017,CA-613,"Black, African American or African",Alone,11
2017,CA-613,"Black, African American or African",In_Combination,*
2017,CA-613,Hispanic/Latina/e/o,Alone,*
2017,CA-613,Hispanic/Latina/e/o,In_Combination,431
2017,CA-613,Native Hawaiian or Pacific Islander,Alone,*
