CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-505,Contra Costa County CoC,18-24,361
2017,CA-505,Contra Costa County CoC,25-34,763
2017,CA-505,Contra Costa County CoC,35-44,783
2017,CA-505,Contra Costa County CoC,45-54,843
2017,CA-505,Contra Costa County CoC,55-64,745
2017,CA-505,Contra Costa County CoC,65+,268
2017,CA-505,Contra Costa County CoC,Under 18,1060
2017,CA-506,"Monterey, San Benito Counties CoC",18-24,181
2017,CA-506,"Monterey, San Benito Counties CoC",25-34,362
2017,CA-506,"Monterey, San Benito Counties CoC",35-44,253
2017,CA-506,"Monterey, San Benito Counties CoC",45-54,247
2017,CA-506,"Monterey, San Benito Counties CoC",55-64,240
2017,CA-506,"Monterey, San Benito Counties CoC",65+,104
2017,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2017,CA-506,"Monterey, San Benito Counties CoC",Under 18,906
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2017,CA-507,Marin County CoC,18-24,101
2017,CA-507,Marin County CoC,25-34,248
2017,CA-507,Marin County CoC,35-44,266
2017,CA-507,Marin County CoC,45-54,302
2017,CA-507,Marin County CoC,55-64,285
2017,CA-507,Marin County CoC,65+,111
2017,CA-507,Marin County CoC,Under 18,298
2017,CA-507,Marin County CoC,Unknown,*
2017,CA-508,Santa Cruz County CoC,18-24,106
2017,CA-508,Santa Cruz County CoC,25-34,285
2017,CA-508,Santa Cruz County CoC,35-44,260
2017,CA-508,Santa Cruz County CoC,45-54,314
2017,CA-508,Santa Cruz County CoC,55-64,285
2017,CA-508,Santa Cruz County CoC,65+,126
2017,CA-508,Santa Cruz County CoC,Under 18,453
2017,CA-508,Santa Cruz County CoC,Unknown,13
2017,CA-509,Mendocino County CoC,18-24,97
2017,CA-509,Mendocino County CoC,25-34,131
2017,CA-509,Mendocino County CoC,35-44,132
2017,CA-509,Mendocino County CoC,45-54,150
2017,CA-509,Mendocino County CoC,55-64,120
2017,CA-509,Mendocino County CoC,65+,44
2017,CA-509,Mendocino County CoC,Under 18,115
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,18-24,534
2017,CA-510,Stanislaus County CoC,25-34,974
2017,CA-510,Stanislaus County CoC,35-44,846
2017,CA-510,Stanislaus County CoC,45-54,659
2017,CA-510,Stanislaus County CoC,55-64,483
2017,CA-510,Stanislaus County CoC,65+,132
2017,CA-510,Stanislaus County CoC,Under 18,2546
2017,CA-510,Stanislaus County CoC,Unknown,*
2017,CA-511,San Joaquin County CoC,18-24,651
2017,CA-511,San Joaquin County CoC,25-34,1282
2017,CA-511,San Joaquin County CoC,35-44,942
2017,CA-511,San Joaquin County CoC,45-54,718
2017,CA-511,San Joaquin County CoC,55-64,522
2017,CA-511,San Joaquin County CoC,65+,177
2017,CA-511,San Joaquin County CoC,Under 18,3446
2017,CA-511,San Joaquin County CoC,Unknown,*
2017,CA-512,San Mateo County CoC,18-24,296
2017,CA-512,San Mateo County CoC,25-34,614
2017,CA-512,San Mateo County CoC,35-44,517
2017,CA-512,San Mateo County CoC,45-54,513
2017,CA-512,San Mateo County CoC,55-64,491
2017,CA-512,San Mateo County CoC,65+,158
2017,CA-512,San Mateo County CoC,Under 18,1281
2017,CA-512,San Mateo County CoC,Unknown,*
2017,CA-513,"Kings, Tulare Counties CoC",18-24,276
2017,CA-513,"Kings, Tulare Counties CoC",25-34,578
2017,CA-513,"Kings, Tulare Counties CoC",35-44,523
2017,CA-513,"Kings, Tulare Counties CoC",45-54,419
2017,CA-513,"Kings, Tulare Counties CoC",55-64,279
2017,CA-513,"Kings, Tulare Counties CoC",65+,82
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,799
2017,CA-514,"Fresno, Madera Counties CoC",18-24,213
2017,CA-514,"Fresno, Madera Counties CoC",25-34,320
2017,CA-514,"Fresno, Madera Counties CoC",35-44,317
2017,CA-514,"Fresno, Madera Counties CoC",45-54,349
2017,CA-514,"Fresno, Madera Counties CoC",55-64,350
2017,CA-514,"Fresno, Madera Counties CoC",65+,97
2017,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2017,CA-514,"Fresno, Madera Counties CoC",Under 18,928
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,*
2017,CA-515,Placer County CoC,18-24,96
2017,CA-515,Placer County CoC,25-34,219
2017,CA-515,Placer County CoC,35-44,225
2017,CA-515,Placer County CoC,45-54,226
2017,CA-515,Placer County CoC,55-64,197
2017,CA-515,Placer County CoC,65+,57
2017,CA-515,Placer County CoC,Invalid,*
2017,CA-515,Placer County CoC,Under 18,311
2017,CA-515,Placer County CoC,Unknown,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,26
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,55
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,47
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,20
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,21
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,103
2017,CA-517,Napa County CoC,18-24,76
2017,CA-517,Napa County CoC,25-34,193
2017,CA-517,Napa County CoC,35-44,152
2017,CA-517,Napa County CoC,45-54,175
2017,CA-517,Napa County CoC,55-64,146
2017,CA-517,Napa County CoC,65+,27
2017,CA-517,Napa County CoC,Under 18,175
2017,CA-518,Solano County CoC,18-24,75
2017,CA-518,Solano County CoC,25-34,156
2017,CA-518,Solano County CoC,35-44,139
2017,CA-518,Solano County CoC,45-54,147
2017,CA-518,Solano County CoC,55-64,174
2017,CA-518,Solano County CoC,65+,74
2017,CA-518,Solano County CoC,Invalid,*
2017,CA-518,Solano County CoC,Under 18,250
2017,CA-518,Solano County CoC,Unknown,13
2017,CA-519,Butte County CoC,18-24,121
2017,CA-519,Butte County CoC,25-34,276
2017,CA-519,Butte County CoC,35-44,212
2017,CA-519,Butte County CoC,45-54,202
2017,CA-519,Butte County CoC,55-64,190
2017,CA-519,Butte County CoC,65+,57
2017,CA-519,Butte County CoC,Under 18,319
2017,CA-519,Butte County CoC,Unknown,*
2017,CA-520,Merced County CoC,18-24,41
2017,CA-520,Merced County CoC,25-34,84
2017,CA-520,Merced County CoC,35-44,115
2017,CA-520,Merced County CoC,45-54,132
2017,CA-520,Merced County CoC,55-64,160
2017,CA-520,Merced County CoC,65+,37
2017,CA-520,Merced County CoC,Under 18,34
2017,CA-521,Yolo County CoC,18-24,40
2017,CA-521,Yolo County CoC,25-34,109
2017,CA-521,Yolo County CoC,35-44,91
2017,CA-521,Yolo County CoC,45-54,89
2017,CA-521,Yolo County CoC,55-64,65
2017,CA-521,Yolo County CoC,65+,*
2017,CA-521,Yolo County CoC,Under 18,129
2017,CA-522,Humboldt County CoC,18-24,83
2017,CA-522,Humboldt County CoC,25-34,153
2017,CA-522,Humboldt County CoC,35-44,132
2017,CA-522,Humboldt County CoC,45-54,126
2017,CA-522,Humboldt County CoC,55-64,143
2017,CA-522,Humboldt County CoC,65+,50
2017,CA-522,Humboldt County CoC,Invalid,*
2017,CA-522,Humboldt County CoC,Under 18,328
2017,CA-522,Humboldt County CoC,Unknown,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,31
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,119
2017,CA-524,"Yuba, Sutter Counties CoC",35-44,*
2017,CA-525,El Dorado County CoC,18-24,19
2017,CA-525,El Dorado County CoC,25-34,33
2017,CA-525,El Dorado County CoC,35-44,36
2017,CA-525,El Dorado County CoC,45-54,48
2017,CA-525,El Dorado County CoC,55-64,38
2017,CA-525,El Dorado County CoC,65+,*
2017,CA-525,El Dorado County CoC,Under 18,120
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,41
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,88
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,78
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,70
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,52
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,17
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,192
2017,CA-527,Tehama County CoC,18-24,29
2017,CA-527,Tehama County CoC,25-34,80
2017,CA-527,Tehama County CoC,35-44,70
2017,CA-527,Tehama County CoC,45-54,60
2017,CA-527,Tehama County CoC,55-64,78
2017,CA-527,Tehama County CoC,65+,22
2017,CA-527,Tehama County CoC,Under 18,53
2017,CA-527,Tehama County CoC,Unknown,*
2017,CA-529,Lake County CoC,18-24,*
2017,CA-529,Lake County CoC,25-34,*
2017,CA-529,Lake County CoC,35-44,*
2017,CA-529,Lake County CoC,45-54,*
2017,CA-529,Lake County CoC,55-64,*
2017,CA-529,Lake County CoC,65+,*
2017,CA-529,Lake County CoC,Under 18,15
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,17
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,24
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,27
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,21
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,55
2017,CA-531,Nevada County CoC,18-24,42
2017,CA-531,Nevada County CoC,25-34,77
2017,CA-531,Nevada County CoC,35-44,94
2017,CA-531,Nevada County CoC,45-54,86
2017,CA-531,Nevada County CoC,55-64,76
2017,CA-531,Nevada County CoC,65+,24
2017,CA-531,Nevada County CoC,Under 18,66
2017,CA-600,Los Angeles County CoC,18-24,5896
2017,CA-600,Los Angeles County CoC,25-34,8926
2017,CA-600,Los Angeles County CoC,35-44,7866
2017,CA-600,Los Angeles County CoC,45-54,8862
2017,CA-600,Los Angeles County CoC,55-64,7486
2017,CA-600,Los Angeles County CoC,65+,2287
2017,CA-600,Los Angeles County CoC,Invalid,27
2017,CA-600,Los Angeles County CoC,Under 18,12156
2017,CA-600,Los Angeles County CoC,Unknown,1126
2017,CA-601,San Diego County CoC,18-24,733
2017,CA-601,San Diego County CoC,25-34,1553
2017,CA-601,San Diego County CoC,35-44,1670
2017,CA-601,San Diego County CoC,45-54,2054
2017,CA-601,San Diego County CoC,55-64,2154
2017,CA-601,San Diego County CoC,65+,577
2017,CA-601,San Diego County CoC,Invalid,12
2017,CA-601,San Diego County CoC,Under 18,2809
2017,CA-601,San Diego County CoC,Unknown,24
2017,CA-602,Orange County CoC,18-24,578
2017,CA-602,Orange County CoC,25-34,1223
2017,CA-602,Orange County CoC,35-44,1179
2017,CA-602,Orange County CoC,45-54,1236
2017,CA-602,Orange County CoC,55-64,1075
2017,CA-602,Orange County CoC,65+,512
2017,CA-602,Orange County CoC,Invalid,13
2017,CA-602,Orange County CoC,Under 18,2820
2017,CA-602,Orange County CoC,Unknown,1822
2017,CA-603,Santa Barbara County CoC,18-24,175
2017,CA-603,Santa Barbara County CoC,25-34,473
2017,CA-603,Santa Barbara County CoC,35-44,439
2017,CA-603,Santa Barbara County CoC,45-54,471
2017,CA-603,Santa Barbara County CoC,55-64,437
2017,CA-603,Santa Barbara County CoC,65+,162
2017,CA-603,Santa Barbara County CoC,Invalid,*
2017,CA-603,Santa Barbara County CoC,Under 18,533
2017,CA-604,Kern County CoC,18-24,269
2017,CA-604,Kern County CoC,25-34,482
2017,CA-604,Kern County CoC,35-44,430
2017,CA-604,Kern County CoC,45-54,465
2017,CA-604,Kern County CoC,55-64,328
2017,CA-604,Kern County CoC,65+,104
2017,CA-604,Kern County CoC,Under 18,942
2017,CA-606,Long Beach CoC (Los Angeles County),18-24,148
2017,CA-606,Long Beach CoC (Los Angeles County),25-34,364
2017,CA-606,Long Beach CoC (Los Angeles County),35-44,303
2017,CA-606,Long Beach CoC (Los Angeles County),45-54,430
2017,CA-606,Long Beach CoC (Los Angeles County),55-64,473
2017,CA-606,Long Beach CoC (Los Angeles County),65+,166
2017,CA-606,Long Beach CoC (Los Angeles County),Invalid,*
2017,CA-606,Long Beach CoC (Los Angeles County),Under 18,751
2017,CA-607,Pasadena CoC (Los Angeles County),18-24,92
2017,CA-607,Pasadena CoC (Los Angeles County),25-34,162
2017,CA-607,Pasadena CoC (Los Angeles County),35-44,219
2017,CA-607,Pasadena CoC (Los Angeles County),45-54,230
2017,CA-607,Pasadena CoC (Los Angeles County),55-64,193
2017,CA-607,Pasadena CoC (Los Angeles County),65+,98
2017,CA-607,Pasadena CoC (Los Angeles County),Under 18,296
2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
2017,CA-608,Riverside County CoC,18-24,675
2017,CA-608,Riverside County CoC,25-34,1058
2017,CA-608,Riverside County CoC,35-44,990
2017,CA-608,Riverside County CoC,45-54,1076
2017,CA-608,Riverside County CoC,55-64,843
2017,CA-608,Riverside County CoC,65+,265
2017,CA-608,Riverside County CoC,Under 18,1615
2017,CA-608,Riverside County CoC,Unknown,88
2017,CA-609,San Bernardino County CoC,18-24,612
2017,CA-609,San Bernardino County CoC,25-34,1195
2017,CA-609,San Bernardino County CoC,35-44,919
2017,CA-609,San Bernardino County CoC,45-54,696
2017,CA-609,San Bernardino County CoC,55-64,556
2017,CA-609,San Bernardino County CoC,65+,165
2017,CA-609,San Bernardino County CoC,Invalid,*
2017,CA-609,San Bernardino County CoC,Under 18,4122
2017,CA-611,Ventura County CoC,18-24,143
2017,CA-611,Ventura County CoC,25-34,299
2017,CA-611,Ventura County CoC,35-44,316
2017,CA-611,Ventura County CoC,45-54,343
2017,CA-611,Ventura County CoC,55-64,311
2017,CA-611,Ventura County CoC,65+,89
2017,CA-611,Ventura County CoC,Invalid,*
2017,CA-611,Ventura County CoC,Under 18,649
2017,CA-611,Ventura County CoC,Unknown,*
2017,CA-612,Glendale CoC (Los Angeles County),18-24,24
2017,CA-612,Glendale CoC (Los Angeles County),25-34,59
2017,CA-612,Glendale CoC (Los Angeles County),35-44,48
2017,CA-612,Glendale CoC (Los Angeles County),45-54,72
2017,CA-612,Glendale CoC (Los Angeles County),55-64,57
2017,CA-612,Glendale CoC (Los Angeles County),65+,27
2017,CA-612,Glendale CoC (Los Angeles County),Under 18,130
2017,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2017,CA-613,Imperial County CoC,18-24,44
2017,CA-613,Imperial County CoC,25-34,89
2017,CA-613,Imperial County CoC,35-44,81
2017,CA-613,Imperial County CoC,45-54,82
2017,CA-613,Imperial County CoC,55-64,75
2017,CA-613,Imperial County CoC,65+,50
2017,CA-613,Imperial County CoC,Invalid,*
2017,CA-613,Imperial County CoC,Under 18,71
2017,CA-613,Imperial County CoC,Unknown,*
2017,CA-614,San Luis Obispo County CoC,18-24,138
2017,CA-614,San Luis Obispo County CoC,25-34,355
2017,CA-614,San Luis Obispo County CoC,35-44,263
2017,CA-614,San Luis Obispo County CoC,45-54,223
2017,CA-614,San Luis Obispo County CoC,55-64,201
2017,CA-614,San Luis Obispo County CoC,65+,80
2017,CA-614,San Luis Obispo County CoC,Invalid,*
2017,CA-614,San Luis Obispo County CoC,Under 18,594
2018,All,California,18-24,18594
2018,All,California,25-34,32424
2018,All,California,35-44,29410
2018,All,California,45-54,30230
2018,All,California,55-64,27488
2018,All,California,65+,9494
2018,All,California,Invalid,89
2018,All,California,Under 18,55562
2018,All,California,Unknown,6279
2018,CA-500,Santa Clara County CoC,18-24,808
2018,CA-500,Santa Clara County CoC,25-34,1487
2018,CA-500,Santa Clara County CoC,35-44,1442
2018,CA-500,Santa Clara County CoC,45-54,1573
2018,CA-500,Santa Clara County CoC,55-64,1535
2018,CA-500,Santa Clara County CoC,65+,522
2018,CA-500,Santa Clara County CoC,Invalid,*
2018,CA-500,Santa Clara County CoC,Under 18,2383
2018,CA-500,Santa Clara County CoC,Unknown,14
2018,CA-501,San Francisco CoC,18-24,702
2018,CA-501,San Francisco CoC,25-34,805
2018,CA-501,San Francisco CoC,35-44,728
2018,CA-501,San Francisco CoC,45-54,698
2018,CA-501,San Francisco CoC,55-64,592
2018,CA-501,San Francisco CoC,65+,219
2018,CA-501,San Francisco CoC,Invalid,*
2018,CA-501,San Francisco CoC,Under 18,1860
2018,CA-501,San Francisco CoC,Unknown,52
2018,CA-502,Alameda County CoC,18-24,753
2018,CA-502,Alameda County CoC,25-34,943
2018,CA-502,Alameda County CoC,35-44,812
2018,CA-502,Alameda County CoC,45-54,896
2018,CA-502,Alameda County CoC,55-64,944
2018,CA-502,Alameda County CoC,65+,379
2018,CA-502,Alameda County CoC,Invalid,*
2018,CA-502,Alameda County CoC,Under 18,1720
2018,CA-502,Alameda County CoC,Unknown,*
2018,CA-503,Sacramento County CoC,18-24,1160
2018,CA-503,Sacramento County CoC,25-34,1601
2018,CA-503,Sacramento County CoC,35-44,1538
2018,CA-503,Sacramento County CoC,45-54,1642
2018,CA-503,Sacramento County CoC,55-64,1337
2018,CA-503,Sacramento County CoC,65+,360
2018,CA-503,Sacramento County CoC,Under 18,3988
2018,CA-503,Sacramento County CoC,Unknown,*
2018,CA-504,Sonoma County CoC,18-24,262
2018,CA-504,Sonoma County CoC,25-34,415
2018,CA-504,Sonoma County CoC,35-44,447
2018,CA-504,Sonoma County CoC,45-54,454
2018,CA-504,Sonoma County CoC,55-64,449
2018,CA-504,Sonoma County CoC,65+,179
2018,CA-504,Sonoma County CoC,Under 18,703
2018,CA-505,Contra Costa County CoC,18-24,386
2018,CA-505,Contra Costa County CoC,25-34,949
2018,CA-505,Contra Costa County CoC,35-44,886
2018,CA-505,Contra Costa County CoC,45-54,948
2018,CA-505,Contra Costa County CoC,55-64,935
2018,CA-505,Contra Costa County CoC,65+,340
2018,CA-505,Contra Costa County CoC,Under 18,1105
2018,CA-506,"Monterey, San Benito Counties CoC",18-24,158
2018,CA-506,"Monterey, San Benito Counties CoC",25-34,376
2018,CA-506,"Monterey, San Benito Counties CoC",35-44,355
2018,CA-506,"Monterey, San Benito Counties CoC",45-54,314
2018,CA-506,"Monterey, San Benito Counties CoC",55-64,333
2018,CA-506,"Monterey, San Benito Counties CoC",65+,140
2018,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2018,CA-506,"Monterey, San Benito Counties CoC",Under 18,932
2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2018,CA-507,Marin County CoC,18-24,73
2018,CA-507,Marin County CoC,25-34,225
2018,CA-507,Marin County CoC,35-44,210
2018,CA-507,Marin County CoC,45-54,253
2018,CA-507,Marin County CoC,55-64,227
2018,CA-507,Marin County CoC,65+,106
2018,CA-507,Marin County CoC,Under 18,248
2018,CA-508,Santa Cruz County CoC,18-24,100
2018,CA-508,Santa Cruz County CoC,25-34,275
2018,CA-508,Santa Cruz County CoC,35-44,279
2018,CA-508,Santa Cruz County CoC,45-54,301
2018,CA-508,Santa Cruz County CoC,55-64,302
2018,CA-508,Santa Cruz County CoC,65+,126
2018,CA-508,Santa Cruz County CoC,Under 18,465
2018,CA-508,Santa Cruz County CoC,Unknown,47
2018,CA-509,Mendocino County CoC,18-24,70
2018,CA-509,Mendocino County CoC,25-34,101
2018,CA-509,Mendocino County CoC,35-44,105
2018,CA-509,Mendocino County CoC,45-54,111
2018,CA-509,Mendocino County CoC,55-64,104
2018,CA-509,Mendocino County CoC,65+,41
2018,CA-509,Mendocino County CoC,Under 18,111
2018,CA-509,Mendocino County CoC,Unknown,21
2018,CA-510,Stanislaus County CoC,18-24,517
2018,CA-510,Stanislaus County CoC,25-34,1045
2018,CA-510,Stanislaus County CoC,35-44,915
2018,CA-510,Stanislaus County CoC,45-54,728
2018,CA-510,Stanislaus County CoC,55-64,561
2018,CA-510,Stanislaus County CoC,65+,162
2018,CA-510,Stanislaus County CoC,Under 18,2186
2018,CA-510,Stanislaus County CoC,Unknown,*
2018,CA-511,San Joaquin County CoC,18-24,772
2018,CA-511,San Joaquin County CoC,25-34,1507
2018,CA-511,San Joaquin County CoC,35-44,1111
2018,CA-511,San Joaquin County CoC,45-54,825
2018,CA-511,San Joaquin County CoC,55-64,611
2018,CA-511,San Joaquin County CoC,65+,200
2018,CA-511,San Joaquin County CoC,Under 18,4055
2018,CA-511,San Joaquin County CoC,Unknown,*
2018,CA-512,San Mateo County CoC,18-24,265
2018,CA-512,San Mateo County CoC,25-34,563
2018,CA-512,San Mateo County CoC,35-44,513
2018,CA-512,San Mateo County CoC,45-54,511
2018,CA-512,San Mateo County CoC,55-64,474
2018,CA-512,San Mateo County CoC,65+,183
2018,CA-512,San Mateo County CoC,Invalid,*
2018,CA-512,San Mateo County CoC,Under 18,1260
2018,CA-512,San Mateo County CoC,Unknown,*
2018,CA-513,"Kings, Tulare Counties CoC",18-24,269
2018,CA-513,"Kings, Tulare Counties CoC",25-34,534
2018,CA-513,"Kings, Tulare Counties CoC",35-44,573
2018,CA-513,"Kings, Tulare Counties CoC",45-54,421
2018,CA-513,"Kings, Tulare Counties CoC",55-64,275
2018,CA-513,"Kings, Tulare Counties CoC",65+,79
2018,CA-513,"Kings, Tulare Counties CoC",Invalid,*
2018,CA-513,"Kings, Tulare Counties CoC",Under 18,815
2018,CA-513,"Kings, Tulare Counties CoC",Unknown,*
2018,CA-514,"Fresno, Madera Counties CoC",18-24,297
2018,CA-514,"Fresno, Madera Counties CoC",25-34,370
2018,CA-514,"Fresno, Madera Counties CoC",35-44,365
2018,CA-514,"Fresno, Madera Counties CoC",45-54,421
2018,CA-514,"Fresno, Madera Counties CoC",55-64,405
2018,CA-514,"Fresno, Madera Counties CoC",65+,118
2018,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2018,CA-514,"Fresno, Madera Counties CoC",Under 18,929
2018,CA-514,"Fresno, Madera Counties CoC",Unknown,23
2018,CA-515,Placer County CoC,18-24,91
2018,CA-515,Placer County CoC,25-34,248
2018,CA-515,Placer County CoC,35-44,246
2018,CA-515,Placer County CoC,45-54,267
2018,CA-515,Placer County CoC,55-64,219
2018,CA-515,Placer County CoC,65+,78
2018,CA-515,Placer County CoC,Under 18,381
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,33
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,102
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,88
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,63
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,84
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,24
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,114
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,86
2018,CA-517,Napa County CoC,18-24,67
2018,CA-517,Napa County CoC,25-34,175
2018,CA-517,Napa County CoC,35-44,168
2018,CA-517,Napa County CoC,45-54,166
2018,CA-517,Napa County CoC,55-64,179
2018,CA-517,Napa County CoC,65+,38
2018,CA-517,Napa County CoC,Under 18,138
2018,CA-518,Solano County CoC,18-24,60
2018,CA-518,Solano County CoC,25-34,163
2018,CA-518,Solano County CoC,35-44,136
2018,CA-518,Solano County CoC,45-54,133
2018,CA-518,Solano County CoC,55-64,174
2018,CA-518,Solano County CoC,65+,53
2018,CA-518,Solano County CoC,Invalid,*
2018,CA-518,Solano County CoC,Under 18,232
2018,CA-519,Butte County CoC,18-24,118
2018,CA-519,Butte County CoC,25-34,260
2018,CA-519,Butte County CoC,35-44,245
2018,CA-519,Butte County CoC,45-54,237
2018,CA-519,Butte County CoC,55-64,209
2018,CA-519,Butte County CoC,65+,90
2018,CA-519,Butte County CoC,Under 18,329
2018,CA-520,Merced County CoC,18-24,69
2018,CA-520,Merced County CoC,25-34,155
2018,CA-520,Merced County CoC,35-44,184
